frame_number,box_x,box_y,box_w,box_h,conf,label,user_id,region
38,498,502,112,315,0.6591594,person,8,entrance
38,181,558,95,236,0.81336176,person,9,
38,1672,515,108,219,0.843132,person,11,
38,405,535,99,249,0.7815575,person,12,
38,1182,385,101,208,0.46079648,person,13,atm
38,1615,361,106,192,0.5349063,person,15,
38,1716,387,46,117,0.4776523,person,16,
38,1369,451,132,227,0.7676738,person,3,
39,1072,379,100,260,0.86259615,person,1,atm
39,270,551,127,276,0.8565344,person,2,
39,1434,534,152,281,0.8240048,person,4,
39,334,559,109,239,0.7701588,person,5,
39,88,644,147,281,0.8353519,person,7,
39,498,505,112,311,0.6178448,person,8,entrance
39,181,557,95,236,0.81410944,person,9,
39,1663,515,120,219,0.84288335,person,11,
39,405,535,99,249,0.78313226,person,12,
39,1181,383,96,202,0.54793304,person,13,atm
39,1615,361,105,193,0.56183636,person,15,
39,1716,385,46,112,0.4128905,person,16,
39,1380,435,96,198,0.5947714,person,3,
39,1198,277,81,166,0.74317396,person,6,
40,1070,379,98,259,0.8674899,person,1,atm
40,270,551,127,275,0.8580288,person,2,
40,1426,531,153,282,0.8845207,person,4,
40,334,559,109,239,0.7702564,person,5,
40,88,644,148,282,0.8277078,person,7,
40,498,505,112,310,0.6410209,person,8,entrance
40,181,557,95,236,0.82542634,person,9,
40,1656,516,127,218,0.85166085,person,11,
40,406,535,97,249,0.78233844,person,12,
40,1176,383,91,199,0.65313363,person,13,atm
40,1615,361,105,193,0.58351266,person,15,
40,1716,384,46,110,0.3627751,person,16,
40,1385,428,67,185,0.65114576,person,3,
40,1198,278,81,167,0.7817394,person,6,
41,1066,379,98,260,0.86013716,person,1,atm
41,270,551,127,276,0.85723895,person,2,
41,1420,529,149,281,0.8949893,person,4,
41,333,559,109,240,0.7867455,person,5,
41,89,645,148,281,0.82671726,person,7,
41,498,505,112,311,0.6785591,person,8,entrance
41,181,558,95,236,0.8243514,person,9,
41,1651,515,133,219,0.82997864,person,11,
41,406,535,97,249,0.76936847,person,12,
41,1180,375,98,216,0.6866031,person,13,atm
41,1615,361,108,193,0.5663517,person,15,
41,1715,384,48,111,0.2885021,person,16,
41,1381,423,67,184,0.6365228,person,3,
41,1197,279,82,169,0.20115343,person,6,
42,1060,378,99,261,0.87329954,person,1,atm
42,270,551,127,276,0.8576912,person,2,
42,1416,527,142,279,0.8654859,person,4,
42,333,559,110,240,0.7660976,person,5,
42,90,645,148,280,0.82208353,person,7,
42,498,504,112,313,0.6692003,person,8,entrance
42,181,558,95,235,0.82721484,person,9,
42,1646,513,133,222,0.8320654,person,11,
42,406,536,97,249,0.75820595,person,12,
42,1181,353,102,269,0.77226996,person,13,atm
42,1615,361,106,195,0.57640386,person,15,
42,1716,385,47,110,0.33227777,person,16,
42,1367,436,89,222,0.5722959,person,3,
42,1196,277,80,167,0.21187107,person,6,
43,1056,377,99,262,0.8769186,person,1,atm
43,270,551,127,276,0.8585602,person,2,
43,1412,526,134,275,0.82898706,person,4,
43,332,559,108,238,0.7272232,person,5,
43,89,646,148,278,0.8289649,person,7,
43,498,503,112,315,0.67745733,person,8,entrance
43,181,558,95,235,0.8272054,person,9,
43,1641,513,124,223,0.8529831,person,11,
43,407,536,96,248,0.74969393,person,12,
43,1181,343,103,282,0.73851174,person,13,
43,1616,361,107,197,0.5451664,person,15,
43,1714,408,51,161,0.5732155,person,16,
43,1361,439,92,237,0.78945065,person,3,
43,1194,275,81,164,0.35167193,person,6,
44,1052,377,97,262,0.8785075,person,1,atm
44,270,551,127,275,0.85526663,person,2,
44,1404,524,128,276,0.78334475,person,4,
44,332,558,111,240,0.74547684,person,5,
44,89,647,147,277,0.8319787,person,7,
44,498,503,112,315,0.6716923,person,8,entrance
44,181,558,95,235,0.82893515,person,9,
44,1637,513,117,223,0.85538214,person,11,
44,407,536,96,248,0.75449127,person,12,
44,1174,352,96,244,0.7531791,person,13,atm
44,1617,362,113,198,0.5001742,person,15,
44,1711,416,57,178,0.6136304,person,16,
44,1356,437,89,247,0.75972277,person,3,
44,1195,272,77,159,0.3373092,person,6,
45,1050,375,94,261,0.8797271,person,1,atm
45,269,551,127,274,0.8523675,person,2,
45,1410,498,96,230,0.60975766,person,4,
45,334,558,111,236,0.6570294,person,5,
45,90,647,148,273,0.83440834,person,7,
45,498,506,112,309,0.50602436,person,8,entrance
45,181,558,96,237,0.83714354,person,9,
45,1634,510,112,225,0.84395236,person,11,
45,407,536,94,249,0.741055,person,12,
45,1171,356,90,226,0.77353036,person,13,atm
45,1627,364,133,203,0.5800802,person,15,
45,1709,421,61,186,0.6871561,person,16,
45,1350,436,90,254,0.77113956,person,3,
45,1193,268,79,152,0.22236365,person,6,
46,1045,372,96,260,0.8766683,person,1,atm
46,269,552,126,274,0.8538067,person,2,
46,1405,510,92,265,0.7282213,person,4,
46,335,558,111,232,0.65379244,person,5,
46,91,647,147,271,0.8321606,person,7,
46,498,507,112,307,0.52001,person,8,entrance
46,181,557,97,238,0.83414286,person,9,
46,1631,505,108,223,0.85137653,person,11,
46,408,534,92,248,0.7353124,person,12,
46,1168,357,88,223,0.68122375,person,13,atm
46,1634,373,145,221,0.6311563,person,15,
46,1709,421,62,191,0.5818068,person,16,
46,1343,434,95,260,0.8212232,person,3,
46,1193,265,77,148,0.26909596,person,6,
47,1041,371,98,260,0.87925005,person,1,atm
47,269,552,126,273,0.85501885,person,2,
47,1397,515,96,276,0.79054767,person,4,
47,335,558,110,231,0.6647034,person,5,
47,91,647,147,271,0.83527315,person,7,
47,498,506,112,309,0.5632428,person,8,entrance
47,181,557,97,239,0.83875674,person,9,
47,1628,503,102,221,0.87163806,person,11,
47,409,534,92,247,0.73647577,person,12,
